0,Student0,10,0.0
1,Student1,11,1.0
2,Student2,12,2.0
3,Student3,13,3.0
4,Student4,14,4.0
5,Student5,15,5.0
6,Student6,16,6.0
7,Student7,17,7.0
8,Student8,18,8.0
9,Student9,19,9.0
10,Student10,10,0.0
11,Student11,11,1.0
12,Student12,12,2.0
13,Student13,13,3.0
14,Student14,14,4.0
15,Student15,15,5.0
16,Student16,16,6.0
17,Student17,17,7.0
18,Student18,18,8.0
19,Student19,19,9.0
20,Student20,10,0.0
21,Student21,11,1.0
22,Student22,12,2.0
23,Student23,13,3.0
24,Student24,14,4.0
25,Student25,15,5.0
26,Student26,16,6.0
27,Student27,17,7.0
28,Student28,18,8.0
29,Student29,19,9.0
30,Student30,10,0.0
31,Student31,11,1.0
32,Student32,12,2.0
33,Student33,13,3.0
34,Student34,14,4.0
35,Student35,15,5.0
36,Student36,16,6.0
37,Student37,17,7.0
38,Student38,18,8.0
39,Student39,19,9.0
40,Student40,10,0.0
41,Student41,11,1.0
42,Student42,12,2.0
43,Student43,13,3.0
44,Student44,14,4.0
45,Student45,15,5.0
46,Student46,16,6.0
47,Student47,17,7.0
48,Student48,18,8.0
49,Student49,19,9.0
50,Student50,10,0.0
51,Student51,11,1.0
52,Student52,12,2.0
53,Student53,13,3.0
54,Student54,14,4.0
55,Student55,15,5.0
56,Student56,16,6.0
57,Student57,17,7.0
58,Student58,18,8.0
59,Student59,19,9.0
60,Student60,10,0.0
61,Student61,11,1.0
62,Student62,12,2.0
63,Student63,13,3.0
64,Student64,14,4.0
65,Student65,15,5.0
66,Student66,16,6.0
67,Student67,17,7.0
68,Student68,18,8.0
69,Student69,19,9.0
70,Student70,10,0.0
71,Student71,11,1.0
72,Student72,12,2.0
73,Student73,13,3.0
74,Student74,14,4.0
75,Student75,15,5.0
76,Student76,16,6.0
77,Student77,17,7.0
78,Student78,18,8.0
79,Student79,19,9.0
80,Student80,10,0.0
81,Student81,11,1.0
82,Student82,12,2.0
83,Student83,13,3.0
84,Student84,14,4.0
85,Student85,15,5.0
86,Student86,16,6.0
87,Student87,17,7.0
88,Student88,18,8.0
89,Student89,19,9.0
90,Student90,10,0.0
91,Student91,11,1.0
92,Student92,12,2.0
93,Student93,13,3.0
94,Student94,14,4.0
95,Student95,15,5.0
96,Student96,16,6.0
97,Student97,17,7.0
98,Student98,18,8.0
99,Student99,19,9.0
100,Student100,10,0.0
101,Student101,11,1.0
102,Student102,12,2.0
103,Student103,13,3.0
104,Student104,14,4.0
105,Student105,15,5.0
106,Student106,16,6.0
107,Student107,17,7.0
108,Student108,18,8.0
109,Student109,19,9.0
110,Student110,10,0.0
111,Student111,11,1.0
112,Student112,12,2.0
113,Student113,13,3.0
114,Student114,14,4.0
115,Student115,15,5.0
116,Student116,16,6.0
117,Student117,17,7.0
118,Student118,18,8.0
119,Student119,19,9.0
120,Student120,10,0.0
121,Student121,11,1.0
122,Student122,12,2.0
123,Student123,13,3.0
124,Student124,14,4.0
125,Student125,15,5.0
126,Student126,16,6.0
127,Student127,17,7.0
128,Student128,18,8.0
129,Student129,19,9.0
130,Student130,10,0.0
131,Student131,11,1.0
132,Student132,12,2.0
133,Student133,13,3.0
134,Student134,14,4.0
135,Student135,15,5.0
