0,JJJJJ,13,3.1961963
1,CC,14,2.803485
2,EEEEE,13,1.394664
3,SSS,13,0.8199811
4,SSSSS,13,0.8795938
5,OOOOO,12,3.9403942
6,ZZZZZ,14,1.0143361
7,WWWWW,14,2.8723764
8,VVVVV,13,1.5031648
9,NN,14,2.399651
10,XX,13,3.9036524
11,WW,15,1.1825001
12,AAA,13,3.5182538
13,TTTT,14,4.0142527
14,KKKK,14,1.7622886
15,ZZZZZ,14,2.0533347
16,SSSSS,14,3.5830686
17,VVVV,13,1.4186153
18,P,15,1.01369
19,NN,15,4.935175
20,A,15,2.4850585
21,PP,12,0.74831486
22,J,12,3.0910063
23,RR,13,4.985509
24,XX,15,3.6038833
25,MM,13,3.6392
26,JJJJ,12,0.67182064
27,CC,15,1.3677189
28,HHHH,12,2.2938747
29,RRRR,13,1.9672945
30,RR,14,1.3655722
31,B,15,1.8550307
32,MMM,15,0.8149004
33,HHHHH,13,4.0208836
34,XXXX,15,1.6075852
35,HH,14,0.55609673
36,QQQQ,12,4.690534
37,TTTT,14,2.0462034
38,LL,15,4.7636094
39,DDDD,14,1.8286353
40,II,14,2.6224408
41,OO,14,2.3581262
42,A,15,3.698773
43,OOO,14,4.6975193
44,SS,12,3.339878
45,PPPP,15,0.45725793
46,VV,14,4.3148627
47,XXXXX,13,3.3437326
48,KKKKK,14,4.0132275
49,EEE,12,4.8448524
50,EEEE,12,2.809831
51,XXXXX,14,0.48058987
52,CC,13,1.1104542
53,JJJJJ,13,4.4769406
54,FFFF,15,0.66343635
55,JJ,13,1.6836324
56,JJJJJ,15,0.8254093
57,JJJ,15,1.0490944
58,MMM,13,2.6029305
59,KKKK,15,4.990607
60,UUU,14,2.456872
61,SSSSS,14,3.5532184
62,UU,12,4.052687
63,DDDD,12,1.3379258
64,WWWW,13,4.367246
65,NNNNN,14,3.7977853
66,ZZ,15,0.82168967
67,Z,15,2.6500263
68,D,13,3.3998137
69,CCCCC,15,2.832916
70,NNNNN,14,0.032775402
71,PPPPP,13,0.6480244
72,IIII,13,4.883448
73,AAAAA,14,4.4717126
74,UUU,15,2.5475497
75,KK,15,0.694077
76,Z,14,1.6037021
77,MM,15,3.3492484
78,XXXX,14,3.3908699
79,FFFF,14,1.2378547
80,U,15,1.3691678
81,SSS,15,1.2106264
82,YY,15,2.9288104
83,QQQ,13,0.6815332
84,VV,14,4.052022
85,EEEEE,12,1.3695052
86,QQ,14,2.8040118
87,S,14,4.7297087
88,N,13,0.23165554
89,LL,12,2.5285053
90,WWWWW,15,1.8823212
91,Y,13,3.5406442
92,PPPPP,14,4.820303
93,CCCCC,13,4.402896
94,J,12,3.7146325
95,ZZZZ,14,4.2452517
96,U,12,0.2995658
97,JJJJJ,15,3.8389757
98,P,15,3.2678275
99,SSSSS,14,0.6502184
100,III,15,0.446752
101,EEE,13,1.3685467
102,L,14,1.92873
103,OOO,12,3.1916833
104,IIII,12,1.6799206
105,II,12,4.390891
106,UUUU,15,1.0349741
107,ZZZ,14,3.4558663
108,XXXX,15,0.40054947
109,RRRRR,15,4.4236584
110,FFF,12,0.4366982
111,GGGGG,15,3.8330612
112,SSS,13,0.96273065
113,A,12,2.114065
114,GGG,14,4.842964
